"Atribuição geral","Atividades","Carga","Indicadores"
"","","horária",""
"Docência","•  Elaboração do plano de ensino","Até 12","•  Adequação do plano de ensino e"
"","e aprendizagem de cada","horas","aprendizagem de cada disciplina"
"","diciplina, conforme as","semanais","•  Exercício da docência dentro das"
"","normativas institucionais","","normativas institucionais"
"","•  Atuação como docente na(s)","","•  Cumprimento da carga horária"
"","disciplina(s) atribuída(s)","","•  Assiduidade às atividades docentes"
"","•  Condução das avaliações de","","•  Condução dos processos de"
"","aprendizagem e atividades","","avaliação da aprendizagem dentro"
"","correlatas de planejamento,","","das normativas institucionais"
"","correção e devolutiva","","•  Cumprimento dos prazos"
"","•  Realização das recuperações","","estabelecidos em Calendário"
"","de aprendizagem sempre que","","Acadêmico para o regime"
"","identificar a necessidade e","","acadêmico"
"","conforme normativas","",""
"","institucionais","",""
"","•  Uso dos recursos de tecnologia","",""
"","e ambientes pedagógicos de","",""
"","forma diversificada e de","",""
"","acordo com o plano de ensino","",""
"","e aprendizagem","",""
"Atuação em","•  Atuação no planejamento,","Até 4 horas","•  Regularidade nas atividades"
"projetos","desenvolvimento,","semanais","realizadas em projetos"
"","coordenação e gestão de","","•  Cumprimento da carga horária"
"","projetos que atendam às","","•  Evidência do cumprimento das"
"","políticas institucionais de","","políticas institucionais de ensino,"
"","ensino, de extensão e de","","de extensão e de pesquisa, e do"
"","pesquisa","","Projeto Pedagógico Institucional"
"","•  Articulação entre a","","nas atividades desenvolvidas"
"","comunidade acadêmica para","","•  Envolvimento da comunidade"
"","atuação nos projetos","","acadêmica nos projetos conduzidos"
"","Conduzidos","",""
"Acompanhamento","•  Atendimento presencial ao","Até 2 horas","•  Registro das orientações e"
"do corpo discente","corpo discente e","semanais","atendimentos realizados"
"","representação discente para","","•  Cumprimento das normativas"
"","assuntos estudantis, didático-","","instituciuonais e dos prazos"
"","pedagógicos e outros","","estabelecidos em Calendário"
"","•  Atuação com o NAD para","","Acadêmico para o regime"
"","acompanhamento da vida","","acadêmico"
"","acadêmica do discente","",""
"Representação","•  Exercício da representação do","Até 2 horas","•  Assiduidade às reuniões"
"nas instâncias","corpo docente conforme","semanais","•  Cumprimento das normativas"
"Deliberativas e","normativas regimentais e","","regimentais e específicas de cada"
"Consultivas","específicas de cada instância","","instância"
"","•  Realização das suas atribuições","","•  Cumprimento dos prazos"
"","específicas definidas em cada","","estabelecidos em Calendário"
"","instância, quando houver","","Acadêmico para o regime"
"","","","acadêmico"
